1|Entrance|The entrance is now barred shut. There's no other way out.|It appears the only way to go is further inside.|TRUE|FALSE|1|1
2|Lobby|The lobby reeks of bleach and appears completely deserted.|A newspaper discusses a missing person case, namely a former nurse at this asylum named Leonardo Wilson.|TRUE|FALSE|2|2
3|Atrium|The atrium is filled with wilted potted plants, clearly unwatered for days. A little girl in a pink dress sits patiently in a chair.|The little girl smiles at you warmly. In her hands is a doll that looks eeriely like you.|TRUE|FALSE|3|3
4|Hallway1|The hallway has various connections.|The hallway has various connections.|TRUE|FALSE|4|4
5|Dr. Klein's Office|The office is well-organized, though stacks of papers pile upon his desk. Dr. Klein greets you with a smile.|Dr. Klein allows you to read over his documents. The papers describe unspeakable experiments performed on various patients, namely to test the brain's ability to remember. Among the list of participants, you clearly read your own name.|TRUE|TRUE|5|5
6|Staff Lounge|Various staff members appear to be asleep in this cozy little lounge. Plenty of food litters the tables.|Upon closer inspection, it looks as though the staff members have been poisoned. It's far too late to help them now. The cupcakes smell especially tasty.|TRUE|FALSE|6|6
7|Hallway2|The hallway has various connections.|The hallway has various connections.|TRUE|FALSE|7|7
8|General Office|The office is disorganized and lacks any staff members. Documents litter the various desks.|A worker's complaint form sits upon one of the desks, hand-written by Leonardo Wilson himself. He complains about the treatment of patients and their well-being, threatening to inform the authorities if Dr. Klein doesn't fix the issues at hand.|TRUE|TRUE|8|8
9|Checkpoint|Two guards are standing at the security checkpoint, one appearing to be laughing hysterically.|You notice that the quieter guard is propped up with leg braces, his lifeless eyes staring at the entrance of the checkpoint. The other guard continues to laugh, a keychain dangling on his waist next to his pistol.|TRUE|FALSE|9|9
10|Hallway3|The hallway has various connections.|The hallway has various connections.|TRUE|FALSE|10|10
11|Stairwell|The Stairwell seems to be very poorly lit.|As you step you suddenly realize the water underneath you isn't water at all! Under your feet seems to be gaint puddles of blood scattered all over the Room! However it seems the puddles eminate from the door to the east, it reaks of death. Its almost like its calling for you. To the south there seems to be another room blocked by a door with a faded name plate|TRUE|FALSE|11|11
